mmer1	mmer2
78	155
103	146
119	183
39	190
92	191
42	186
77	142
49	195
35	166
128	156
108	146
105	193
102	192
13	154
104	166
105	144
94	175
8	172
91	160
68	156
110	161
113	185
115	194
129	178
131	195
70	142
52	189
62	153
101	165
110	160
14	163
111	156
82	154
135	158
30	140
36	187
56	165
83	194
67	155
119	184
11	145
114	151
15	171
29	149
26	147
8	172
15	173
125	174
121	188
17	175
61	153
79	192
25	164
98	175
107	168
103	172
37	193
118	171
28	179
112	153
68	141
96	180
133	148
123	152
38	152
67	163
137	189
31	147
42	160
100	163
76	162
33	177
135	160
56	163
23	177
95	157
37	180
27	162
78	171
112	194
134	183
134	188
72	167
20	183
101	170
18	182
132	192
30	148
19	175
81	167
136	143
21	170
50	172
87	159
47	191
34	154
48	161
125	185
74	192
69	156
71	183
75	166
95	158
117	153
131	189
2	164
12	153
106	186
88	169
89	143
80	181
104	191
84	176
29	159
53	194
57	146
139	190
70	161
17	176
69	159
34	158
115	193
108	174
0	184
107	166
49	185
39	155
126	146
130	171
14	181
82	141
100	149
45	148
58	141
97	157
114	149
41	140
55	157
52	168
93	178
136	145
9	166
87	181
65	164
116	157
117	154
124	167
54	165
120	140
2	162
10	148
90	185
48	144
41	154
74	164
55	187
25	188
18	175
120	172
73	169
129	142
109	146
86	171
132	187
99	165
85	148
113	147
127	188
26	176
3	174
109	194
126	161
99	189
32	184
98	155
118	143
51	143
80	180
46	150
59	144
127	185
40	150
1	159
85	158
64	178
90	193
72	182
3	195
13	161
45	141
47	170
19	168
59	152
123	141
62	142
138	174
43	180
102	184
38	158
7	173
121	155
6	144
93	160
77	168
83	140
84	170
139	169
128	181
71	177
137	150
88	143
66	191
86	144
76	176
10	177
31	167
21	151
0	190
40	186
46	193
96	177
7	150
4	182
65	182
12	169
6	179
64	162
60	184
61	149
50	159
24	187
5	150
33	174
124	170
92	183
11	157
16	182
130	164
5	187
94	156
91	147
1	151
44	140
28	190
22	188
9	176
133	173
22	145
23	179
43	178
89	142
44	173
73	152
20	163
63	181
116	168
97	145
58	180
66	195
75	162
106	151
122	147
81	178
122	190
54	186
111	167
24	191
35	165
79	189
16	195
36	173
51	179
53	151
138	152
63	179
57	169
60	192
27	145
4	149
32	186
