1294	3199	200
365	2679	200
1897	2689	200
2060	2590	200
2235	2882	200
573	3288	200
1491	2895	200
1469	2751	200
42	3096	200
1088	2940	200
1526	2615	200
2095	2982	200
1443	3055	200
1990	3473	200
339	3171	200
1465	2956	200
40	2821	200
1534	2507	200
170	3268	200
888	3238	200
857	2629	200
1073	2534	200
725	3415	300
2290	2734	300
511	3372	300
1963	3369	300
2242	2990	300
2060	3483	300
1072	2514	300
1955	2908	300
1706	2853	300
1444	2996	300
2073	3098	300
2183	3435	300
964	2866	300
615	3178	300
547	3101	300
713	3207	300
304	2894	300
733	2552	300
330	2903	300
2109	2779	300
1837	3100	300
1206	3469	300
120	3259	300
267	3225	300
2167	2605	300
1696	3091	300
1105	3086	300
999	3182	400
575	2649	400
1293	2716	400
562	3387	400
118	2896	400
657	2737	400
1620	2581	400
1637	3139	400
2264	2590	400
566	3323	400
899	3043	400
2346	3251	400
325	3351	400
380	2913	400
798	2954	400
1690	3455	400
186	3424	400
662	2924	400
1480	3285	400
1944	2675	400
1360	3365	400
496	3485	400
1394	3191	400
191	2884	400
2486	3488	400
520	2555	400
724	3062	400
1235	3479	400
1746	2921	400
1824	3017	500
1420	2877	500
1485	2937	500
2400	3194	500
2099	3302	500
1740	3436	500
1566	3116	500
1285	2654	500
2397	2563	500
1654	2785	500
1763	2997	500
20	2924	500
1028	3085	500
324	3321	500
1952	3421	500
1011	2597	500
1812	2671	500
592	2601	500
2496	2930	500
1100	2839	500
1534	2706	500
386	3449	500
2463	3300	500
290	3125	600
315	2872	600
248	3209	600
1293	3274	600
2381	3071	600
93	3368	600
1013	2656	600
282	3454	600
685	3121	600
1344	2738	600
815	3291	600
762	2784	600
1506	2873	600
2226	3494	600
1123	3138	600
1759	2826	600
742	3288	600
1589	3275	600
195	2754	600
1768	3353	600
2269	3033	600
357	3024	600
2341	2687	600
1749	3177	600
771	3211	600
327	2582	600
127	3174	600
602	2770	600
1852	2629	600
1466	3263	600
1929	3252	600
2154	3339	600
1068	2706	600
1449	3468	700
2387	2738	700
1025	2656	700
2471	3111	700
2385	2712	700
2019	2700	700
1190	2573	700
684	3334	700
1513	3459	700
556	2947	700
1839	3036	700
1150	2997	700
1915	2715	700
1805	2665	700
1840	3108	700
2263	2958	700
427	3178	700
