mmer1	mmer2
127	169
38	149
92	193
91	183
105	159
96	180
23	182
56	140
63	139
90	137
10	188
68	182
32	131
72	145
98	170
81	189
43	165
111	143
129	160
39	186
117	169
75	184
0	187
95	156
111	144
50	157
106	158
77	179
118	175
97	193
83	132
79	139
53	178
116	188
112	140
7	158
114	176
113	134
82	178
64	173
126	177
103	187
18	136
44	168
124	162
13	133
54	172
17	176
8	180
20	149
99	151
129	165
6	152
57	185
35	166
67	141
26	145
4	136
36	163
86	156
101	166
93	192
52	169
30	180
89	151
76	179
24	186
125	170
53	141
34	167
108	190
2	185
44	171
27	194
62	134
123	152
84	130
115	164
21	139
69	167
3	130
37	132
71	160
37	137
13	142
57	134
51	153
15	131
112	144
88	141
94	173
40	150
26	168
98	150
90	163
75	193
47	165
74	181
14	135
80	132
21	146
46	147
114	159
14	131
73	183
11	155
1	189
69	168
127	193
20	151
78	176
58	182
43	143
45	162
42	169
123	148
91	172
84	191
88	142
80	189
87	167
128	143
94	185
68	157
103	170
46	175
41	144
49	161
9	194
102	175
76	143
119	158
108	184
121	177
109	140
97	130
16	192
104	186
59	133
34	170
12	146
42	152
16	165
71	174
19	142
22	147
4	180
79	191
117	133
82	182
50	164
65	171
51	179
106	181
1	160
121	137
25	159
96	147
6	147
5	163
33	167
45	188
58	158
56	194
86	144
81	166
122	161
120	184
74	134
119	159
62	191
125	154
113	141
63	154
78	137
73	142
118	153
120	140
92	183
52	148
48	156
27	187
3	172
12	154
32	138
83	171
30	192
65	178
41	135
24	168
22	148
60	186
70	191
55	130
49	172
29	150
107	152
95	164
85	175
40	157
116	139
28	161
104	155
101	156
8	178
47	161
39	155
87	189
38	171
64	173
36	151
107	184
70	138
105	176
126	131
72	188
100	148
128	150
61	173
109	133
10	138
17	132
54	166
115	192
100	160
122	163
35	155
19	154
2	177
5	145
28	177
99	138
29	190
124	181
25	162
23	153
110	164
0	136
31	149
59	190
33	194
89	179
67	145
9	135
77	174
102	183
7	149
55	181
66	146
48	162
15	135
60	136
93	153
31	157
11	190
85	146
18	185
66	174
61	187
110	174
